"gid","gene_name","fundescrp"
"16077524","murF","UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase"
"16077529","acpS","holo-acyl carrier protein synthase"
"16077531","alr","D-alanine racemase"
"16077658","ydiB","conserved protein"
"16077659","ydiC","probable protease"
"16077661","gcp","probable O-sialoglycoprotein endopeptidase"
"50812190","groES","class I heat-shock protein (chaperonin)"
"16077670","groEL","class I heat-shock protein (chaperonin)"
"16077673","ydiO","DNA-methyltransferase (cytosine-specific)"
"16077674","ydiP","DNA-methyltransferase (cytosine-specific)"
"16077729","pcrA","ATP-dependent DNA helicase"
"16077730","ligA","DNA ligase (NAD-dependent)"
"16077735","gatC","glutamyl-tRNA(Gln) amidotransferase (subunit C)"
"16077736","gatA","glutamyl-tRNA(Gln) amidotransferase (subunit A)"
"50812194","gatB","glutamyl-tRNA(Gln) amidotransferase (subunit B)"
"16077740","yerQ","putative kinase related to diacylglycerol kinase"
"16077958","cspR","pobable rRNA methylase"
"16078016","yhdL","possible anti-SigM protein"
"16078019","yhdO","1-acylglycerol-3-phosphate O-acyltransferase"
"16078059","prsA","protein secretion (posttranslocation molecular chaperone)"
"16078199","fabF","beta-ketoacyl-acyl carrier protein synthase II"
"16078207","trpS","tryptophanyl-tRNA synthetase"
"16078226","ppnK(yjbN)","inorganic polyphosphate/ATP-NAD kinase"
"16078482","ykuQ","tetrahydrodipicolinate succinylase"
"16078483","ykuR","similar to deacetylases"
"16078517","ykqC","conserved protein with metallo-beta-lactamase motif"
"16078522","pdhA","pyruvate dehydrogenase E1 component, alpha subunit"
"16078548","ylaN","conserved protein"
"16078549","ftsW","cell-division protein"
"16078572","rpmF","ribosomal protein L32"
"16078579","ftsL","cell-division protein (septum formation)"
"16078580","pbpB","penicillin-binding protein 2B (cell-division septum)"
"16078582","murE","UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase"
"16078583","mraY","phospho-N-acetylmuramoyl-pentapeptide transferase"
"16078584","murD","UDP-N-acetylmuramoylalanyl-D-glutamate ligase"
"16078586","murG","UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase"
"16078587","murB","UDP-N-acetylenolpyruvoylglucosamine reductase"
"16078588","divIB","cell-division initiation protein (septum formation)"
"16078592","ftsA","cell-division protein (septum formation)"
"16078593","ftsZ","cell-division initiation protein (septum formation)"
"16078607","ileS","isoleucyl-tRNA synthetase"
"50812226","gmk","guanylate kinase"
"16078634","priA","primosomal replication factor Y"
"16078636","fmt","methionyl-tRNA formyltransferase"
"16078641","yloQ","conserved protein with ATP/GTP-binding site motif"
"16078645","rpmB","ribosomal protein L28"
"16078652","plsX","involved in fatty acid/phospholipid synthesis"
"16078653","fabD","malonyl CoA-acyl carrier protein transacylase"
"16078654","fabG","beta-ketoacyl-acyl carrier protein reductase"
"16078655","acpA/acpP","acyl carrier protein"
"16078656","rnc","ribonuclease III"
"16078657","smc","chromosome condensation and segregation SMC protein"
"16078658","ftsY","signal recognition particle"
"16078661","ffh","signal recognition particle (SRP) like component"
"16078662","rpsP","ribosomal protein S16 (BS17)"
"16078666","trmD","probable tRNA (guanine-N(1)-)-methyltransferase"
"16078667","rplS","ribosomal protein L19"
"16078668","ylqF/rbgA","GTP-binding protein"
"16078675","topA","DNA topoisomerase I"
"16078712","rpsB","ribosomal protein S2"
"16078713","tsf","elongation factor Ts"
"16078715","frr","ribosome recycling factor"
"16078717","cdsA","phosphatidate cytidylyltransferase"
"16078718","dxr","1-deoxy-D-xylulose-5-phosphate reductoisomerase"
"16078720","proS","prolyl-tRNA synthetase"
"16078721","polC","DNA polymerase III (alpha subunit)"
"16078723","nusA","transcription translation coupling"
"16078726","infB","initiation factor IF-2"
"16078731","rpsO","ribosomal protein S15 (BS18)"
"16078738","asd","aspartate-semialdehyde dehydrogenase"
"16078740","dapA","dihydrodipicolinate synthase"
"16078755","pgsA","phosphatidylglycerophosphate synthase"
"16078759","ymdA","conserved protein with HD domain of metal-dependent phosphohydrolase"
"16078800","ymaA/nrdI","ribonucleoside-diphosphate reductase subunit"
"16078801","nrdE","ribonucleoside-diphosphate reductase (major subunit)"
"16078802","nrdF","ribonucleoside-diphosphate reductase (minor subunit)"
"16078852","tkt","transketolase"
"16078868","yneS","conserved membrane protein"
"50812242","parE","subunit of DNA topoisomerase IV"
"16078871","parC","subunit of DNA topoisomerase IV"
"16078996","odhB","2-oxoglutarate dehydrogenase (dihydrolipoamide transsuccinylase, E2 subunit)"
"16079240","dfrA","dihydrofolate reductase"
"16079292","dnaD","initiation of chromosome replication"
"16079293","asnS/asnC","asparaginyl-tRNA synthetase"
"16079301","birA","transcriptional repressor of the biotin operon/biotin acetyl-CoA-carboxylase synthetase"
"16079302","cca","tRNA nucleotidyltransferase"
"16079306","dapB","dihydrodipicolinate reductase"
"16079331","hepT","heptaprenyl diphosphate synthase component II"
"16079332","menH/ubiE","menaquinone biosynthesis methyltransferase"
"16079333","hepS","heptaprenyl diphosphate synthase component I"
"16079336","hbs","nonspecific DNA-binding protein HBsu"
"16079340","gpsA","NAD(P)H-dependent glycerol-3-phosphate dehydrogenase"
"16079341","yphC/engA","GTP-binding protein"
"16079346","cmk","cytidylate kinase"
"16079370","resC","cytochrome c biogenesis protein"
"16079371","resB","cytochrome c biogenesis protein"
"16079372","resA","cytochrome c biogenesis protein"
"16079378","ypuH","SMC interacting protein"
"16079379","ypuG/scpA","SMC interacting protein"
"16079441","yqjK","conserved protein with metallo-beta-lactamase motif"
"16079483","dxs","1-deoxyxylulose-5-phosphate synthase"
"16079484","yqiD","geranyltranstransferase"
"16079487","folD","methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase"
"16079490","accC","acetyl-CoA carboxylase (biotin carboxylase subunit)"
"16079491","accB","acetyl-CoA carboxylase (biotin carboxyl carrier subunit)"
"18677781","rpmGA/rpmG","possible ribosomal protein L33"
"16079562","yqfY/ispG","1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase"
"16079571","yqfP/ispH","isopentenyl diphosphate biosynthesis"
"16079575","sigA","RNA polymerase major sigma factor"
"16079576","dnaG","DNA primase"
"16079580","glyS","glycyl-tRNA synthetase (beta subunit)"
"16079581","glyQ","glycyl-tRNA synthetase (alpha subunit)"
"16079583","era","GTP-binding protein"
"16079595","rpsU","ribosomal protein S21"
"16079609","rpsT","ribosomal protein S20 (BS20)"
"16079610","holA","DNA polymerase III (delta subunit),(yqeN/holA)"
"16079618","yqeJ/nadD","nicotinate-nucleotide adenylyltransferase"
"16079619","yqeI","conserved protein"
"16079621","yqeH","GTP-binding protein"
"16079794","alaS","alanyl-tRNA synthetase"
"50812273","trmU","probable tRNA (5-methylaminomethyl-2-thiouridylate) methyltransferase"
"50812274","yrvO","NifS protein homolog"
"16079809","aspS","aspartyl-tRNA synthetase"
"16079810","hisS","histidyl-tRNA synthetase"
"16079844","obg/obgE","GTP-binding protein"
"16079846","rpmA","ribosomal protein L27 (BL24)"
"16079848","rplU","ribosomal protein L21 (BL20)"
"16079854","mreC","cell-shape determining protein"
"16079855","mreB","cell-shape determining protein"
"16079861","valS","valyl-tRNA synthetase"
"16079871","ysxC","GTP-binding protein"
"16079891","racE","glutamate racemase"
"16079902","trxA","thioredoxin"
"16079915","pheT","phenylalanyl-tRNA synthetase (beta subunit)"
"16079916","pheS","phenylalanyl-tRNA synthetase (alpha subunit)"
"16079937","rplT","ribosomal protein L20"
"16079938","rpmI","ribosomal protein L35"
"16079939","infC","initiation factor IF-3"
"16079950","dnaI","primosome component (helicase loader)"
"16079951","dnaB","initiation of chromosome replication/membrane attachment protein"
"16079958","ytaG","desphospho-coenzyme A kinase"
"16079971","pfkA","6-phosphofructokinase"
"16079972","accA","acetyl-CoA carboxylase (alpha subunit)"
"16079973","accD","acetyl-CoA carboxylase (beta subunit)"
"16079975","dnaE","DNA polymerase III (alpha subunit)"
"16080018","rpsD","ribosomal protein S4 (BS4)"
"16080019","tyrS","tyrosyl-tRNA synthetase (major)"
"16080031","murC","UDP-N-acetylmuramate-alanine ligase"
"16080084","leuS","leucyl-tRNA synthetase"
"16080107","metK","S-adenosylmethionine synthetase"
"16080130","menC","O-succinylbenzoate-CoA synthase"
"16080131","menE","O-succinylbenzoic acid-CoA ligase"
"16080132","menB","dihydroxynapthoic acid synthetase"
"16080134","menD","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase/2-oxoglutarate decarboxylase"
"161511068","mrpA","multiple resistance and pH homeostasis (Na+/H+ antiporter)"
"16080213","mrpB","multiple resistance and pH homeostasis"
"16080214","mrpC","multiple resistance and pH homeostasis"
"50812286","mrpD","multiple resistance and pH homeostasis"
"16080216","mrpF","multiple resistance and pH homeostasis"
"16080226","yueK","nicotinate phosphoribosyltransferase"
"16080264","yumC","similar to thioredoxin reductase"
"16080270","dapF","diaminopimelate epimerase"
"16080319","yurU","Synthesis of iron sulfur clusters-NifZ homolog"
"16080320","yurV","Synthesis of iron sulfur clusters-NifU homolog"
"16080321","csd","cysteine desulfurase-NifS homolog"
"16080322","yurX","Synthesis of iron sulfur clusters-NifZ homolog"
"16080323","yurY","Synthesis of iron sulfur clusters-ABC transporter (ATP-binding protein)"
"16080443","eno","enolase"
"16080444","pgm","phosphoglycerate mutase"
"16080445","tpiA","triose phosphate isomerase"
"16080446","pgk","phosphoglycerate kinase"
"16080532","trxB","thioredoxin reductase"
"16080582","prfB","peptide chain release factor 2"
"16080583","secA","preprotein translocase subunit (ATPase)"
"16080606","tagO","teichoic acid linkage unit synthesis"
"16080619","yvyH","UDP-N-acetylglucosamine 2-epimerase"
"16080623","tagH","teichoic acid translocation (ATP-binding protein)"
"16080624","tagG","teichoic acid translocation (permease)"
"16080625","tagF","CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase"
"16080627","tagD","glycerol-3-phosphate cytidylyltransferase"
"16080628","tagA","involved in polyglycerol phosphate teichoic acid biosynthesis"
"16080629","tagB","involved in polyglycerol phosphate teichoic acid biosynthesis"
"16080729","murAA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
"16080743","glyA","serine hydroxymethyltransferase"
"16080748","ywlC","conserved protein with a putative RNA binding motif"
"16080754","prfA","peptide chain release factor 1"
"16080760","rpmE","ribosomal protein L31"
"16080765","fbaA","fructose-1,6-bisphosphate aldolase"
"16080768","pyrG","CTP synthetase"
"16080786","argS","arginyl-tRNA synthetase"
"16080863","rodA","control of cell shape and elongation"
"16080900","menA","1,4-dihydroxy-2-naphthoate octaprenyltransferase"
"16081092","yycG","two-component sensor histidine kinase"
"16081093","yycF","two-component response regulator"
"16081096","dnaC","replicative DNA helicase"
"16081102","rplI","ribosomal protein L9"
"16081107","ppaC","inorganic pyrophosphatase"
"50812313","rpsR","ribosomal protein S18"
"16081142","ssb","single-strand DNA-binding protein"
"16081143","rpsF","ribosomal protein S6 (BS9)"
"16081157","rnpA","protein component of ribonuclease P (RNase P)"
"16081158","rpmH","ribosomal protein L34"
"15925706","dnaA","chromosomal replication initiator protein"
"15925709","recF","Recombinational DNA repair ATPase (RecF pathway)"
"15925710","gyrB","DNA gyrase subunit B"
"15925711","gyrA","DNA gyrase subunit A"
"15925714","serS","seryl-tRNA synthetase"
"15925720","rplI","50S ribosomal protein L9"
"15925721","dnaC","replicative DNA helicase"
"15925727","SA0021","Conserved hypothetical protein"
"15925793","SA0085","Conserved hypothetical protein"
"15925843","drm","Phosphopentomutase"
"15925889","SA0179","Ornithine aminotransferase"
"15925891","SA0181","Hypothetical protein"
"15925909","oppF","oligopeptide transport ATP-binding protein"
"15925917","msmX","Multiple sugar-binding transport ATP-binding protein"
"15925941","SA0230","Conserved hypothetical protein"
"15925985","SA0272","similar to transmembrane protein Tmp7"
"15926061","SA0348","Hypothetical protein"
"15926064","SA0351","hypothetical protein, similar to GTP-binding protein"
"15926066","rpsF","30S ribosomal protein S6"
"15926067","ssb","Single-strand DNA-binding protein"
"15926068","rpsR","30S ribosomal protein S18"
"15926090","pubX/pbuX","Xanthine permease"
"15926091","guaB","Inositol-monophosphate dehydrogenase"
"15926092","guaA","GMP synthase"
"15926141","SA0422","Hypothetical protein"
"15926155","dnaX","DNA polymerase III gamma and tau subunits"
"15926156","SA0437","conserved hypothetical protein"
"15926159","tmk","Thymidylate kinase homolog"
"15926165","SA0446","Conserved hypothetical protein"
"15926166","SA0447","conserved hypothetical protein"
"15926167","metS","methionyl-tRNA synthetase"
"15926168","SA0449","conserved hypothetical protein"
"15926176","gcaD","UDP-N-acetylglucosamine pyrophosphorylase"
"15926177","prs","Ribose-phosphate pyrophosphokinase"
"15926179","pth","Peptidyl-tRNA hydrolase"
"15926183","SA0464","conserved hypothetical protein"
"15926186","SA0467","conserved hypothetical protein"
"15926188","ftsH","cell-division protein"
"15926194","lysS","lysyl-tRNA synthetase"
"15926202","clpC","endopeptidase"
"15926205","gltX","Glutamyl-tRNA synthetase (glutamate--tRNA ligase)"
"15926207","cysS","cysteinyl-tRNA synthetase"
"15926215","rplK","50S ribosomal protein L11"
"15926216","rplA","50S ribosomal protein L1"
"15926217","rplJ","50S ribosomal protein L10"
"15926218","rplL","50S ribosomal protein L7/L12"
"15926220","rpoB","DNA-directed RNA polymerase subunit beta"
"15926221","rpoC","RNA polymerase beta-prime chain"
"15926223","rpsL","30S ribosomal protein S12"
"15926224","rpsG","30S ribosomal protein S7"
"15926225","fus","translational elongation factor G"
"15926226","tufA/tuf","translational elongation factor TU"
"15926266","pta/eutD","phosphotransacetylase"
"15926281","SA0560","Conserved hypothetical protein"
"15926283","adh1","alcohol dehydrogenase"
"15926285","argS","arginyl-tRNA synthetase"
"15926338","vraF","ABC transporter ATP-binding protein"
"15926360","bacA/uppP","Bacitracin resistance protein"
"15926376","fruB","fructose 1-phosphate kinase"
"15926377","fruA","fructose specific permease"
"15926397","SA0675","similar to ABC transporter ATP-binding protein"
"15926408","nrdE","Ribonucleoside-diphosphate reductase (major subunit)"
"15926425","SA0703","Conserved hypothetical protein"
"15926430","secA","preprotein translocase subunit"
"15926431","prfB","Peptide chain release factor 2, authentic frameshift"
"15926435","uvrB","Exonuclease ABC subunit B"
"15926436","uvrA","exinuclease ABC subunit A"
"15926437","hprK","HPr kinase/phosphatase"
"15926444","SA0722","conserved hypothetical protein"
"15926449","gap","glyceraldehyde-3-phosphate dehydrogenase"
"15926450","pgk","Phosphoglycerate kinase"
"15926451","tpi","Triose phosphate isomerase"
"15926453","eno","enolase"
"15926454","SA0732","hypothetical protein"
"15926458","ssrP/smpB","ssrA-binding protein"
"15926499","SA0771","Conserved hypothetical protein"
"15926500","SA0772","conserved hypothetical protein"
"15926502","SA0774","ABC transporter ATP-binding protein homologue"
"15926504","nifS","Pyridoxal-phosphate-dependent aminotransferase"
"15926513","lipA","Lipoic acid synthetase"
"15926551","pgi","glucose-6-phosphate isomerase A"
"15926564","clpB","ClpB chaperone homologue"
"15926577","oppD","Oligopeptide transport system ATP-binding protein OppD homolog"
"15926585","trpS","tryptophanyl-tRNA synthetase"
"15926599","fabI","Trans-2-enoyl-ACP reductase"
"15926608","prfC","Peptide chain release factor 3"
"15926632","menB","Naphthoate synthase"
"15926646","qoxB","Quinol oxidase polypeptide I QoxB"
"15926652","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase"
"15926658","purN","5-Phosphoribosylglycinamide transformylase 1"
"15926669","ptsH","phophocarrier protein HPR"
"15926670","ptsI","phosphoenolpyruvate-protein phosphatase"
"15926675","SA0940","conserved hypothetical protein"
"15926679","phdB/pdhB","pyruvate dehydrogenase E1 component beta subunit"
"15926680","pdhC","dihydrolipoamide S-acetyltransferase component of pyruvate dehydrogenase E2"
"15926681","pdhD","dihydrolipoamide dehydrogenase component of pyruvate dehydrogenase E3"
"15926684","potA","Spermidine/putrescine ABC transporter, ATP-binding protein homolog"
"15926690","SA0956","Hypothetical protein"
"15926694","SA0959","GTP-binding elongation factor"
"15926712","rpmF","Ribosomal protein L32"
"15926722","pheS","Phe-tRNA synthetase alpha chain"
"15926723","pheT","Phe-tRNA synthetase beta chain"
"15926728","mutS2","MutS-like protein"
"15926730","uvrC","Exonuclease ABC subunit C"
"15926734","murI","Glutamate racemase"
"15926735","SA0998","Conserved hypothetical protein"
"15926765","mraY","Phospho-N-muramic acid-pentapeptide translocase"
"15926766","murD","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase"
"15926768","ftsA","Cell division protein FtsA"
"15926769","ftsZ","cell division protein"
"15926771","SA1031","conserved hypothetical protein"
"15926776","ileS","Ile-tRNA synthetase"
"15926784","pyrC","dihydroorotase"
"15926794","SA1054","Pantothenate metabolism flavoprotein homolog"
"15926795","priA","Primosomal replication factor Y"
"15926803","SA1063","protein kinase"
"15926807","rpmB","Ribosomal protein L28"
"15926812","plsX","Fatty acid/phospholipid synthesis protein"
"15926813","fabD","Malonyl CoA-acyl carrier protein transacylase"
"15926814","fabG","3-Oxoacyl-[acyl-carrier protein] reductase"
"15926816","rnc","RNase III"
"15926817","smc","chromosome segregation SMC protein"
"15926818","SA1078","signal recognition particle"
"15926820","ffh","signal recognition particle homolog"
"15926821","rpsP","30S ribosomal protein S16"
"15926823","trmD","tRNA"
"15926824","rplS","50S ribosomal protein L19"
"15926826","rbgA","conserved hypothetical protein"
"15926833","topA","DNA topoisomerase I"
"15926834","gid","Glucose inhibited division protein gid"
"15926839","rpsB","30S ribosomal protein S2"
"15926840","tsf","homolog elongation factor TS"
"15926844","cdsA","phosphatidate cytidylyltransferase"
"15926846","proS","prolyl-tRNA synthetase"
"15926847","polC","DNA polymerase III, alpha chain PolC-type"
"15926849","nusA","Transcription termination"
"15926852","infB","translation initiation factor IF-2"
"15926853","rbfA","Ribosome-binding factor A"
"15926857","pnpA","Polyribonucleotide nucleotidyltransferase"
"15926858","SA1118","conserved hypotehtical protein"
"15926866","pgsA","Phosphotidylglycerophosphate synthase"
"15926868","recA","RecA/RadA recombinase"
"15926880","glpP","glycerol uptake operon antiterminator regulatory protein"
"15926883","glpK","glycerol kinase"
"15926889","SA1147","Hypothetical protein"
"15926922","SA1176","Conserved hypothetical protein"
"15926923","tkt","transketolase"
"15926933","SA1187","conserved hypothetical protein"
"15926934","parE","topoisomerase IV subunit B"
"15926935","parC","topoisomerase IV subunit A"
"15926937","glcT","transcription antiterminator"
"15926952","trpB","Tryptophan synthase beta chain"
"15926992","odhB","Dihydrolipoamide succinyltransferase"
"15926999","murG","Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase"
"15927000","SA1252","conserved hypothetical protein"
"15927007","dfrA","dihydrofolate reductase"
"15927008","thyA","Thymidylate synthase"
"15927025","SA1277","Conserved hypothetical protein"
"15927035","asnS/asnC","Asparaginyl-tRNA synthetase"
"15927052","gerCD/ubiE","Menaquinone biosynthesis methyltransferase"
"15927056","engA","hypothetical protein, similar to GTP binding protein"
"15927059","cmk","Cytidylate kinase"
"15927096","bmfBB","branched-chain alpha-keto acid dehydrogenase E2"
"15927097","bfmBAB","branched-chain alpha-keto acid dehydrogenase E1"
"15927098","bfmBAA","branched-chain alpha-keto acid dehydrogenase E1"
"15927099","SA1349","dihydrolipoamide dehydrogenase"
"15927109","SA1359","Translation elongation factor P"
"15927131","rpmG","50S ribosomal protein L33"
"15927141","sigA","RNA polymerase major rho factor"
"15927142","dnaG","DNA primase"
"15927155","rpsU","30S ribosomal protein S21"
"15927159","dnaJ","Molecular chaperones (contain C-terminal Zn finger domain)"
"15927160","dnaK","Molecular chaperone"
"15927165","lepA","GTP-binding protein"
"15927166","rpsT","30S ribosomal protein S20"
"15927190","greA","Transcription elongation factor GreA"
"15927197","SA1445","conserved hypothetical protein"
"15927198","alaS","alanyl-tRNA synthetase"
"15927201","SA1449","(5-methylaminomethyl-2-thiouridylate)-methyltransferase"
"15927202","SA1450","Iron-sulfur cofactor synthesis protein homolog"
"15927210","aspS","aspartyl-tRNA synthetase"
"15927211","hisS","histidyl-tRNA synthetase"
"15927224","obg/obgE","Spo0B-associated GTP-binding protein"
"15927225","rpmA","50S ribosomal protein L27"
"15927227","rplU","50S ribosomal protein L21"
"15927242","valS","valine-tRNA ligase"
"15927247","hemB","Delta-aminolevulinic acid dehydratase"
"15927249","hemC","porphobilinogen deaminase"
"15927257","rplT","50S ribosomal protein L20"
"15927258","rpmI","50S ribosomal protein L35"
"15927259","infC","translation initiation factor IF-3 infC"
"15927261","thrS","threonyl-tRNA synthetase 1"
"15927264","SA1509","Conserved hypothetical protein"
"15927265","gapB","Glyceraldehyde-3-phosphate dehydrogenase 2"
"15927268","polA","DNA polymerase I"
"15927275","pykA","pyruvate kinase"
"15927276","pfk/pfkA","6-phosphofructokinase"
"15927277","accA","Acetyl-CoA carboxylase, carboxyl transferase, alpha subunit"
"15927278","SA1523","acetyl-CoA carboxylase transferase beta subunit"
"15927279","SA1524","Malate dehydrogenase homolog"
"15927280","dnaE","DNA polymerase III, alpha chain"
"15927288","ackA","Acetate kinase homolog"
"15927296","rpsD","30S ribosomal protein S4"
"15927301","serA","Phosphoglycerate dehydrogenase"
"15927306","tyrS","tyrosyl-tRNA synthetase"
"15927310","acsA","Acetyl-CoA synthetase"
"15927313","ccpA","Catabolite control protein A"
"15927317","murC","UDP-N-acetylmuramate-alanine ligase"
"15927319","SA1563","phenylalanyl-tRNA synthetase (beta subunit) homolog"
"15927335","leuS","leucyl-rRNA synthetase"
"15927364","metK","S-adenosylmethionine synthetase"
"15927453","ampS","aminopeptidase ampS"
"15927459","vraS","two-component sensor histidine kinase"
"15927462","map","Methionine aminopeptidase"
"15927471","SA1713","RNA methyltransferase homolog"
"15927473","gatB","glutamyl-tRNAGln amidotransferase subunit B"
"15927474","SA1716","glutamyl-tRNAGln amidotransferase subunit A"
"15927478","lig","DNA ligase"
"15927479","pcrA","ATP-depentend DNA helicase"
"15927482","purB","adenylosuccinate lyase"
"15927486","nadE","NAD synthetase, prefers NH3 over glutamine"
"15927507","SA1747","similar to ABC transporter, ATP-binding protein"
"15927558","SA1792","Single-strand DNA-binding protein"
"15927605","groES","Protein fate: Protein folding and stabilization"
"15927622","vga","Hypothetical ABC transporter ATP-binding protein"
"15927624","SA1854","similar to O-sialoglycoprotein"
"15927652","kdpA","potassium-transporting ATPase subunit A"
"15927656","SA1885","hypothetical protein, similar to ATP-dependent RNA helicase"
"15927657","murF","UDP-N-acetylmuramoylalanine-D-glutamyl-lysine-D-alanyl-D-alanine ligase"
"15927658","ddlA/ddl","D-Alanine-D-alanine ligase"
"15927674","murA","UDP-N-acetylglucosamine 1-carboxyvinyl transferase 1"
"15927681","atpF","ATP synthase B chain"
"15927686","upp","uracil phosphoribosyl transferase"
"15927687","glyA","serine hydroxymethyl transferase"
"15927692","prfA","peptide chain release factor 1"
"15927693","tdk","thymidine kinase"
"15927694","rpmE/rpmE2","Ribosomal protein L31"
"15927695","rho","Transcription termination factor Rho"
"15927699","fbaA","fructose-bisphosphate aldolase"
"15927711","SA1939","deoxyribose-phosphate aldolase"
"15927733","SA1957","conserved hypothetical protein"
"15927735","glmS","Glucosamine-fructose-6-phosphate aminotransferase"
"15927739","mtlA","Mannitol PTS EII"
"15927740","mtlD","mannitol-1-phosphate 5-dehydrogenase"
"15927743","SA1966","conserved hypothetical protein"
"15927775","lacA","galactose-6-phosphate isomerase LacA subunit"
"15927797","rpsI","30S ribosomal protein S9"
"15927798","rplM","50S ribosomal protein L13"
"15927800","SA2019","Conserved hypothetical protein"
"15927801","SA2020","Hypothetical protein"
"15927803","rplQ","50S ribosomal protein L17"
"15927804","rpoA","DNA-directed RNA polymerase alpha chain"
"15927805","rpsK","30S ribosomal protein S11"
"15927806","rpsM","30S ribosomal protein S13"
"15927807","rpmJ","50S ribosomal protein L36"
"15927808","infA","translation initiation factor IF-1"
"15927809","adk","adenylate kinase"
"15927810","secY","preprotein translocase SecY subunit"
"15927811","rplO","50S ribosomal protein L15"
"15927812","rpmD","50S ribosomal protein L30"
"15927813","rpsE","30S ribosomal protein S5"
"15927814","rplR","50S ribosomal protein L18"
