"access_num","koid","cogid","description","ec"
"CEG0070","K01867","COG0180J","tryptophanyl-tRNA synthetase","[EC:6.1.1.2]"
"CEG0071","K01870","COG0060J","isoleucyl-tRNA synthetase","[EC:6.1.1.5]"
"CEG0072","K01874","COG0143J","methionyl-tRNA synthetase","[EC:6.1.1.10]"
"CEG0073","K01892","COG0124J","histidyl-tRNA synthetase","[EC:6.1.1.21]"
"CEG0074","K01921","COG1181M","D-alanine-D-alanine ligase","[EC:6.3.2.4]"
"CEG0075","K01924","COG0773M","UDP-N-acetylmuramate--alanine ligase","[EC:6.3.2.8]"
"CEG0076","K01929","COG0770M","UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase","[EC:6.3.2.10]"
"CEG0077","K01962","COG0825I","acetyl-CoA carboxylase carboxyl transferase subunit alpha","[EC:6.4.1.2]"
"CEG0078","K02078","COG0236IQ","acyl carrier protein","---"
"CEG0079","K02313","COG0593L","chromosomal replication initiator protein","---"
"CEG0080","K02314","COG0305L","replicative DNA helicase","[EC:3.6.4.12]"
"CEG0081","K02340","COG1466L","DNA polymerase III subunit delta","[EC:2.7.7.7]"
"CEG0082","K02341","COG0470L","DNA polymerase III subunit delta'","[EC:2.7.7.7]"
"CEG0083","K02355","COG0480J","elongation factor EF-G","[EC:3.6.5.3]"
"CEG0084","K02357","COG0264J","elongation factor EF-Ts","---"
"CEG0085","K02563","COG0707M","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","[EC:2.4.1.227]"
"CEG0086","K02867","COG0080J","large subunit ribosomal protein L11","---"
"CEG0087","K02881","COG0256J","large subunit ribosomal protein L18","---"
"CEG0088","K02886","COG0090J","large subunit ribosomal protein L2","---"
"CEG0089","K02899","COG0211J","large subunit ribosomal protein L27","---"
"CEG0090","K02906","COG0087J","large subunit ribosomal protein L3","---"
"CEG0091","K02907","COG1841J","large subunit ribosomal protein L30","---"
"CEG0092","K02916","COG0291J","large subunit ribosomal protein L35","---"
"CEG0093","K02946","COG0051J","small subunit ribosomal protein S10","---"
"CEG0094","K02950","COG0048J","small subunit ribosomal protein S12","---"
"CEG0095","K02956","COG0184J","small subunit ribosomal protein S15","---"
"CEG0096","K02959","COG0228J","small subunit ribosomal protein S16","---"
"CEG0097","K02986","COG0522J","small subunit ribosomal protein S4","---"
"CEG0098","K03046","COG0086K","DNA-directed RNA polymerase subunit beta'","[EC:2.7.7.6]"
"CEG0099","K03217","COG0706U","preprotein translocase subunit YidC","---"
"CEG0100","K03536","COG0594J","ribonuclease P protein component","[EC:3.1.26.5]"
"CEG0101","K03595","COG1159R","GTP-binding protein Era","---"
"CEG0102","K04075","COG0037D","tRNA(Ile)-lysidine synthase","[EC:6.3.4.-]"
"CEG0103","K09808","COG4591M","lipoprotein-releasing system permease protein","---"
"CEG0104","K00566","COG0482J","tRNA-specific 2-thiouridylase","[EC:2.8.1.-]"
"CEG0105","K00655","COG0204I","1-acyl-sn-glycerol-3-phosphate acyltransferase","[EC:2.3.1.51]"
"CEG0106","K00790","COG0766M","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","[EC:2.5.1.7]"
"CEG0107","K00942","COG0194F","guanylate kinase","[EC:2.7.4.8]"
"CEG0108","K00943","COG0125F","dTMP kinase","[EC:2.7.4.9]"
"CEG0109","K01462","COG0242J","peptide deformylase","[EC:3.5.1.88]"
"CEG0110","K01491","COG0190H","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","[EC:1.5.1.5 3.5.4.9]"
"CEG0111","K01507","COG1227C,COG0221C","inorganic pyrophosphatase","[EC:3.6.1.1]"
"CEG0112","K01624","COG0191G","fructose-bisphosphate aldolase, class II","[EC:4.1.2.13]"
"CEG0113","K01869","COG0495J","leucyl-tRNA synthetase","[EC:6.1.1.4]"
"CEG0114","K01876","COG0173J","aspartyl-tRNA synthetase","[EC:6.1.1.12]"
"CEG0115","K01925","COG0771M","UDP-N-acetylmuramoylalanine--D-glutamate ligase","[EC:6.3.2.9]"
"CEG0116","K01937","COG0504F","CTP synthase","[EC:6.3.4.2]"
"CEG0117","K02109","COG0711C","F-type H+-transporting ATPase subunit b","[EC:3.6.3.14]"
"CEG0118","K02316","COG0358L","DNA primase","[EC:2.7.7.-]"
"CEG0119","K02343","COG2812L","DNA polymerase III subunit gamma/tau","[EC:2.7.7.7]"
"CEG0120","K02434","COG0064J","aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit B","[EC:6.3.5.6 6.3.5.7]"
"CEG0121","K02469","COG0188L","DNA gyrase subunit A","[EC:5.99.1.3]"
"CEG0122","K02860","COG0806J","16S rRNA processing protein RimM","---"
"CEG0123","K02884","COG0335J","large subunit ribosomal protein L19","---"
"CEG0124","K02888","COG0261J","large subunit ribosomal protein L21","---"
"CEG0125","K02892","COG0089J","large subunit ribosomal protein L23","---"
"CEG0126","K02902","COG0227J","large subunit ribosomal protein L28","---"
"CEG0127","K02914","COG0230J","large subunit ribosomal protein L34","---"
"CEG0128","K02919","COG0257J","large subunit ribosomal protein L36","---"
"CEG0129","K02952","COG0099J","small subunit ribosomal protein S13","---"
"CEG0130","K02963","COG0238J","small subunit ribosomal protein S18","---"
"CEG0131","K02990","COG0360J","small subunit ribosomal protein S6","---"
"CEG0132","K02994","COG0096J","small subunit ribosomal protein S8","---"
"CEG0133","K02996","COG0103J","small subunit ribosomal protein S9","---"
"CEG0134","K03106","COG0541U","signal recognition particle subunit SRP54","---"
"CEG0135","K03590","COG0849D","cell division protein FtsA","---"
"CEG0136","K03687","COG0576O","molecular chaperone GrpE","---"
"CEG0137","K03798","COG0465O","cell division protease FtsH","[EC:3.4.24.-]"
"CEG0138","K03979","COG0536R","GTP-binding protein","---"
"CEG0139","K04077","COG0459O","chaperonin GroEL","---"
"CEG0140","K04078","COG0234O","chaperonin GroES","---"
"CEG0141","K06925","COG0802R","UPF0079 ATP-binding protein","---"
"CEG0142","K00382","COG1249C","dihydrolipoamide dehydrogenase","[EC:1.8.1.4]"
"CEG0143","K00526","COG0208F","ribonucleoside-diphosphate reductase beta chain","[EC:1.17.4.1]"
"CEG0144","K00645","COG0331I","[acyl-carrier-protein] S-malonyltransferase","EC:2.3.1.39]"
"CEG0145","K00858","COG0061G","NAD+ kinase","[EC:2.7.1.23]"
"CEG0146","K00859","COG0237H","dephospho-CoA kinase","[EC:2.7.1.24]"
"CEG0147","K01000","COG0472M","phospho-N-acetylmuramoyl-pentapeptide-transferase","[EC:2.7.8.13]"
"CEG0148","K01662","COG1154HI","1-deoxy-D-xylulose-5-phosphate synthase","[EC:2.2.1.7]"
"CEG0149","K01772","COG0276H","ferrochelatase","[EC:4.99.1.1]"
"CEG0150","K01803","COG0149G","triosephosphate isomerase (TIM)","[EC:5.3.1.1]"
"CEG0151","K01885","COG0008J","glutamyl-tRNA synthetase","[EC:6.1.1.17]"
"CEG0152","K01887","COG0018J","arginyl-tRNA synthetase","[EC:6.1.1.19]"
"CEG0153","K01963","COG0777I","acetyl-CoA carboxylase carboxyl transferase subunit beta","[EC:6.4.1.2]"
"CEG0154","K02111","COG0056C","F-type H+-transporting ATPase subunit alpha","[EC:3.6.3.14]"
"CEG0155","K02338","COG0592L","DNA polymerase III subunit beta","[EC:2.7.7.7]"
"CEG0156","K02621","COG0188L","topoisomerase IV subunit A","[EC:5.99.1.-]"
"CEG0157","K02864","COG0244J","large subunit ribosomal protein L10","---"
"CEG0158","K02968","COG0268J","small subunit ribosomal protein S20","---"
"CEG0159","K03073","COG0690U","preprotein translocase subunit SecE","---"
"CEG0160","K03168","COG0551L,COG0550L","DNA topoisomerase I","[EC:5.99.1.2]"
"CEG0161","K03588","COG0772D","cell division protein FtsW","---"
"CEG0162","K04042","COG1207M","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","[EC:2.7.7.23 2.3.1.157]"
"CEG0163","K07042","COG0319R","probable rRNA maturation factor","---"
"CEG0164","K11753","COG0196H","riboflavin kinase / FMN adenylyltransferase","[EC:2.7.1.26 2.7.7.2]"
"CEG0165","K13038","COG0452H","phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase","[EC:4.1.1.36 6.3.2.5]"
"CEG0166","K00075","COG0812M","UDP-N-acetylmuramate dehydrogenase","[EC:1.1.1.158]"
"CEG0167","K00215","COG0289E","dihydrodipicolinate reductase","[EC:1.3.1.26]"
"CEG0168","K00560","COG0207F","thymidylate synthase","[EC:2.1.1.45]"
"CEG0169","K00600","COG0112E","glycine hydroxymethyltransferase","[EC:2.1.2.1]"
"CEG0170","K00954","COG0669H","pantetheine-phosphate adenylyltransferase","[EC:2.7.7.3]"
"CEG0171","K00991","COG1211I","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","[EC:2.7.7.60]"
"CEG0172","K01776","COG0796M","glutamate racemase","[EC:5.1.1.3]"
"CEG0173","K01893","COG0017J","asparaginyl-tRNA synthetase","[EC:6.1.1.22]"
"CEG0174","K01961","COG0439I","acetyl-CoA carboxylase, biotin carboxylase subunit","[EC:6.4.1.2 6.3.4.14]"
"CEG0175","K02006","COG1122P","cobalt/nickel transport system ATP-binding protein","---"
"CEG0176","K02112","COG0055C","F-type H+-transporting ATPase subunit beta","[EC:3.6.3.14]"
"CEG0177","K02160","COG0511I","acetyl-CoA carboxylase biotin carboxyl carrier protein","---"
"CEG0178","K02356","COG0231J","elongation factor EF-P","---"
"CEG0179","K02358","COG0050J","elongation factor EF-Tu","[EC:3.6.5.3]"
"CEG0180","K02372","COG0764I","3R-hydroxymyristoyl ACP dehydrase","[EC:4.2.1.-]"
"CEG0181","K02601","COG0250K","transcriptional antiterminator NusG","---"
"CEG0182","K02836","COG1186J","peptide chain release factor RF-2","---"
"CEG0183","K02909","COG0254J","large subunit ribosomal protein L31","---"
"CEG0184","K02911","COG0333J","large subunit ribosomal protein L32","---"
"CEG0185","K03100","COG0681U","signal peptidase I","[EC:3.4.21.89]"
"CEG0186","K03183","COG2226H","ubiquinone/menaquinone biosynthesis methyltransferase","[EC:2.1.1.-]"
"CEG0187","K03431","COG1109G","phosphoglucosamine mutase","[EC:5.4.2.10]"
"CEG0188","K03589","COG1589M","cell division protein FtsQ","---"
"CEG0189","K03657","COG0210L","DNA helicase II / ATP-dependent DNA helicase PcrA","[EC:3.6.4.12]"
"CEG0190","K04043","COG0443O","molecular chaperone DnaK","---"
"CEG0191","K04487","COG1104E","cysteine desulfurase","[EC:2.8.1.7]"
"CEG0192","K07447","COG0816L","putative holliday junction resolvase","[EC:3.1.-.-]"
"CEG0193","K00133","COG0136E","aspartate-semialdehyde dehydrogenase","[EC:1.2.1.11]"
"CEG0194","K00208","COG0623I","enoyl-[acyl-carrier protein] reductase I","[EC:1.3.1.9]"
"CEG0195","K00615","COG0021G","transketolase","[EC:2.2.1.1]"
"CEG0196","K00806","COG0020I","undecaprenyl diphosphate synthase","[EC:2.5.1.31]"
"CEG0197","K00820","COG0449M","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","[EC:2.6.1.16]"
"CEG0198","K00919","COG1947I","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","[EC:2.7.1.148]"
"CEG0199","K00969","COG1057H","nicotinate-nucleotide adenylyltransferase","[EC:2.7.7.18]"
"CEG0200","K00974","COG0617J","tRNA nucleotidyltransferase (CCA-adding enzyme)","[EC:2.7.7.72 3.1.3.- 3.1.4.-]"
"CEG0201","K00997","COG0736I","holo-[acyl-carrier protein] synthase","[EC:2.7.8.7]"
"CEG0202","K01633","COG1539H","dihydroneopterin aldolase","[EC:4.1.2.25]"
"CEG0203","K01714","COG0329EM","dihydrodipicolinate synthase","[EC:4.2.1.52]"
"CEG0204","K01770","COG0245I","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","[EC:4.6.1.12]"
"CEG0205","K01834","COG0696G,COG0588G","phosphoglycerate mutase","[EC:5.4.2.1]"
"CEG0206","K01878","COG0752J","glycyl-tRNA synthetase alpha chain","[EC:6.1.1.14]"
"CEG0207","K01879","COG0751J","glycyl-tRNA synthetase beta chain","[EC:6.1.1.14]"
"CEG0208","K01886","COG0008J","glutaminyl-tRNA synthetase","[EC:6.1.1.18]"
"CEG0209","K01916","COG0171H","NAD+ synthase","[EC:6.3.1.5]"
"CEG0210","K01928","COG0769M","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase","[EC:6.3.2.13]"
"CEG0211","K02115","COG0224C","F-type H+-transporting ATPase subunit gamma","[EC:3.6.3.14]"
"CEG0212","K02433","COG0154J","aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit A","[EC:6.3.5.6 6.3.5.7]"
"CEG0213","K02527","COG1519M","3-deoxy-D-manno-octulosonic-acid transferase","[EC:2.-.-.-]"
"CEG0214","K02834","COG0858J","ribosome-binding factor A","---"
"CEG0215","K02863","COG0081J","large subunit ribosomal protein L1","---"
"CEG0216","K02970","COG0828J","small subunit ribosomal protein S21","---"
"CEG0217","K03101","COG0597MU","signal peptidase II","[EC:3.4.23.36]"
"CEG0218","K03524","COG0340H","BirA family transcriptional regulator, biotin operon repressor / biotin-acetyl-CoA-carboxylase] ligase","[EC:6.3.4.15]"
"CEG0219","K03621","COG0416I","glycerol-3-phosphate acyltransferase PlsX","[EC:2.3.1.15]"
"CEG0220","K03634","COG2834M","outer membrane lipoprotein carrier protein","---"
"CEG0221","K04488","COG0822C","nitrogen fixation protein NifU and related proteins","---"
"CEG0222","K07024","COG0561R","---","---"
"CEG0223","K07497","COG2801L","putative transposase","---"
"CEG0224","K08591","COG0344S","glycerol-3-phosphate acyltransferase PlsY","[EC:2.3.1.15]"
"CEG0225","K12574","COG0595R","ribonuclease J","[EC:3.1.-.-]"
"CEG0226","K13292","COG0682M","phosphatidylglycerol:prolipoprotein diacylglycerol transferase","[EC:2.-.-.-]"
"CEG0227","K14540","COG1161R","ribosome biogenesis GTPase A","---"
"CEG0228","K00099","COG0743I","1-deoxy-D-xylulose-5-phosphate reductoisomerase","[EC:1.1.1.267]"
"CEG0229","K00384","COG0492O","thioredoxin reductase (NADPH)","[EC:1.8.1.9]"
"CEG0230","K00627","COG0508C","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","[EC:2.3.1.12]"
"CEG0231","K00674","COG2171E","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","[EC:2.3.1.117]"
"CEG0232","K00677","COG1043M","UDP-N-acetylglucosamine acyltransferase","[EC:2.3.1.129]"
"CEG0233","K00850","COG0205G","6-phosphofructokinase","[EC:2.7.1.11]"
"CEG0234","K00873","COG0469G","pyruvate kinase","[EC:2.7.1.40]"
"CEG0235","K00891","COG0703E","shikimate kinase","[EC:2.7.1.71]"
"CEG0236","K00912","COG1663M","tetraacyldisaccharide 4'-kinase","[EC:2.7.1.130]"
"CEG0237","K00979","COG1212M","3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)","[EC:2.7.7.38]"
"CEG0238","K01495","COG0302H","GTP cyclohydrolase I","[EC:3.5.4.16]"
"CEG0239","K01599","COG0407H","uroporphyrinogen decarboxylase","[EC:4.1.1.37]"
"CEG0240","K01749","COG0181H","hydroxymethylbilane synthase","[EC:2.5.1.61]"
"CEG0241","K01756","COG0015F","adenylosuccinate lyase","[EC:4.3.2.2]"
"CEG0242","K01783","COG0036G","ribulose-phosphate 3-epimerase","[EC:5.1.3.1]"
"CEG0243","K01810","COG0166G","glucose-6-phosphate isomerase","[EC:5.3.1.9]"
"CEG0244","K01951","COG0518F,COG0519F","GMP synthase (glutamine-hydrolysing)","[EC:6.3.5.2]"
"CEG0245","K02110","COG0636C","F-type H+-transporting ATPase subunit c","[EC:3.6.3.14]"
"CEG0246","K02335","COG0258L,COG0749L","DNA polymerase I","[EC:2.7.7.7]"
"CEG0247","K02494","COG3017M","outer membrane lipoprotein LolB","---"
"CEG0248","K02523","COG0142H","octaprenyl diphosphate synthase","[EC:2.5.1.-]"
"CEG0249","K02536","COG1044M","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase","[EC:2.3.1.-]"
"CEG0250","K03074","COG0341U","preprotein translocase subunit SecF","---"
"CEG0251","K03269","COG2908S","UDP-2,3-diacylglucosamine hydrolase","[EC:3.6.1.-]"
"CEG0252","K03438","COG0275M","S-adenosyl-methyltransferase","[EC:2.1.1.-]"
"CEG0253","K03526","COG0821I","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase","[EC:1.17.7.1]"
"CEG0254","K03530","COG0776L","DNA-binding protein HU-beta","---"
"CEG0255","K06148","COG4987CO,COG4988CO,COG1132V,COG2274V","ATP-binding cassette, subfamily C, bacterial","---"
"CEG0256","K07277","COG4775M","outer membrane protein","---"
"CEG0257","K07566","COG0009J","putative translation factor","---"
"CEG0258","K08884","COG0515RTKL","serine/threonine protein kinase, bacterial","[EC:2.7.11.1]"
"CEG0259","K09810","COG1136V","lipoprotein-releasing system ATP-binding protein","[EC:3.6.3.-]"
"CEG0260","K11085","COG1132V","ATP-binding cassette, subfamily B, bacterial MsbA","[EC:3.6.3.-]"
"CEG0261","K11720","COG0795R","lipopolysaccharide export system permease protein","---"
"CEG0262","K11754","COG0285H","dihydrofolate synthase / folylpolyglutamate synthase","[EC:6.3.2.12 6.3.2.17]"
"CEG0263","K14742","COG1214O","hypothetical protease","[EC:3.4.-.-]"
"CEG0264","---","COG0500QR","yafE/yecP/cmoB/HI0912/tehB/HP0388/Rv3030/metW",
"CEG0265","---","COG1396K","ydcN/dicA/ydfB/Rv2515c/PA14_40150/PA14_40210",
"CEG0266","K00057","COG0240C","glycerol-3-phosphate dehydrogenase (NAD(P)+)","[EC:1.1.1.94]"
"CEG0267","K00088","COG0516F","IMP dehydrogenase","[EC:1.1.1.205]"
"CEG0268","K00568","COG2227H","3-demethylubiquinone-9 3-methyltransferase","[EC:2.1.1.- 2.1.1.64]"
"CEG0269","K00648","COG0332I","3-oxoacyl-[acyl-carrier-protein] synthase III","[EC:2.3.1.180]"
"CEG0270","K00658","COG0508C","2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)","[EC:2.3.1.61]"
"CEG0271","K00748","COG0763M","lipid-A-disaccharide synthase","[EC:2.4.1.182]"
"CEG0272","K00759","COG0503F","adenine phosphoribosyltransferase","[EC:2.4.2.7]"
"CEG0273","K00791","COG0324J","tRNA dimethylallyltransferase","[EC:2.5.1.75]"
"CEG0274","K00796","COG0294H","dihydropteroate synthase","[EC:2.5.1.15]"
"CEG0275","K00946","COG0611H","thiamine-monophosphate kinase","[EC:2.7.4.16]"
"CEG0276","K00998","COG1502I,COG1183I","phosphatidylserine synthase","[EC:2.7.8.8]"
"CEG0277","K01439","COG0624E","succinyl-diaminopimelate desuccinylase","[EC:3.5.1.18]"
"CEG0278","K01497","COG0807H","GTP cyclohydrolase II","[EC:3.5.4.25]"
"CEG0279","K01520","COG0756F","dUTP pyrophosphatase","[EC:3.6.1.23]"
"CEG0280","K01613","COG0688I","phosphatidylserine decarboxylase","[EC:4.1.1.65]"
"CEG0281","K01719","COG1587H","uroporphyrinogen-III synthase","[EC:4.2.1.75]"
"CEG0282","K01775","COG0787M","alanine racemase","[EC:5.1.1.1]"
"CEG0283","K01778","COG0253E","diaminopimelate epimerase","[EC:5.1.1.7]"
"CEG0284","K01807","COG0120G","ribose 5-phosphate isomerase A","[EC:5.3.1.6]"
"CEG0285","K01915","COG0174E","glutamine synthetase","[EC:6.3.1.2]"
"CEG0286","K02003","COG1136V,COG4181Q","---","---"
"CEG0287","K02031","COG0444EP","peptide/nickel transport system ATP-binding protein","---"
"CEG0288","K02034","COG1173EP","peptide/nickel transport system permease protein","---"
"CEG0289","K02113","COG0712C,COG0711C","F-type H+-transporting ATPase subunit delta","[EC:3.6.3.14]"
"CEG0290","K02114","COG0355C","F-type H+-transporting ATPase subunit epsilon","[EC:3.6.3.14]"
"CEG0291","K02435","COG0721J","aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit C","[EC:6.3.5.6 6.3.5.7]"
"CEG0292","K02492","COG0373H","glutamyl-tRNA reductase","[EC:1.2.1.70]"
"CEG0293","K02897","COG1825J","large subunit ribosomal protein L25","---"
"CEG0294","K02945","COG0539J","small subunit ribosomal protein S1","---"
"CEG0295","K03088","COG1595K","RNA polymerase sigma-70 factor, ECF subfamily","---"
"CEG0296","K03527","COG0761IM","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","[EC:1.17.1.2]"
"CEG0297","K03586","COG3116D","cell division protein FtsL","---"
"CEG0298","K03587","COG0768M","cell division protein FtsI (penicillin-binding protein 3)","[EC:2.4.1.129]"
"CEG0299","K03624","COG0782K","transcription elongation factor GreA","---"
"CEG0300","K03647","COG1780F","protein involved in ribonucleotide reduction","---"
"CEG0301","K03671","COG0526OC,COG3118O","thioredoxin 1","---"
"CEG0302","K03685","COG0571K","ribonuclease III","[EC:3.1.26.3]"
"CEG0303","K03686","COG0484O","molecular chaperone DnaJ","---"
"CEG0304","K03980","COG0728R","virulence factor","---"
"CEG0305","K04066","COG1198L","primosomal protein N' (replication factor Y) (superfamily II helicase)","[EC:3.6.4.-]"
"CEG0306","K04744","COG1452M","LPS-assembly protein","---"
"CEG0307","K08300","COG1530J","ribonuclease E","[EC:3.1.26.12]"
"CEG0308","K11717","COG0520E","cysteine desulfurase / selenocysteine lyase","[EC:2.8.1.7 4.4.1.16]"
"CEG0309","K11752","COG0117H,COG1985H","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","[EC:3.5.4.26 1.1.1.193]"
"CEG0310","K13288","COG1949A","oligoribonuclease","[EC:3.1.-.-]"
"CEG0311","---","COG0477GEPR","ydeE/yfaV/efpA/ydiN/STM1543/ACIAD2535",
"CEG0312","---","COG1028IQR","yciK/HI0048/Rv1714/FTN_0892/FTN_1125/PA14_13680",
"CEG0313","---","---","PPE FAMILY PROTEIN",
